# model=snpy_max_model
# h=72.00163002615162
# N = 324
# RMS = 0.24550529029797882
# WRMS = 0.21491565927148093
# NMAD = 0.16814900394672314
# STD = 0.24544615460812721
# STD(logH0) = 0.049150487235919395
# rchisquare = 9.610228193619061
# sigma_int = 0.21321
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st       Jmax       Vmax       rmax    e_Jmax    e_Vmax    e_rmax        dist          h0  resid_DM
   19gcj  163.775956  57.648935 2569372   163.77499   57.65051     J-c-o-ztfg-ztfr     1D3    F19        None  36.413951  0.080668  0.046162  0.046692  0.000007  163.775956  57.648935  0.005087      0.0           0.0                 0.0  3.313       4.007             3.325  58644.540208  0.408847     2.96847  0.778901  0.049833  18.310069  18.525994  17.854096  0.059705  0.119212  0.038954  191.774242   72.992279 -0.104783
   19ged  151.171708   40.04205 9005014  151.171703  40.042055 J-asg-c-o-ztfg-ztfr     1D3    F19        None  37.841789  0.156867   0.06339  0.064196      <NA>  151.171708   40.04205  0.010908    0.647         0.636               0.646  0.804       0.814             0.805  58643.911592  0.430553    0.643984  1.070503  0.067363  19.423817  18.104576  17.910566   0.15513  0.075498    0.0326  370.132953   51.995738  0.604413
   19hoc  259.103958  36.114119 9005015   259.10399   36.11385      J-asg-c-o-ztfr      2D    F19        None  35.776713  0.060602  0.036879   0.03677      <NA>  259.103958  36.114119  0.045939    0.001           0.0               0.001  1.944       2.609             1.948  58666.050354  0.417615    1.491858  1.099966  0.035447  17.261406  16.806536  16.770465  0.058001  0.022994   0.02611  143.002183   77.085441 -0.208617
   19huh  348.613333     8.2633 3978094   348.61433    8.26147 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.152989  0.050876  0.040729  0.039492  0.000004  348.613333     8.2633  0.098782    0.003         0.001               0.003  1.585       1.638             1.586  58664.043745  0.438465    1.571085  0.968628  0.035457  17.624417  17.096093  17.144652  0.047908  0.062889  0.028812  170.058274   69.620199  0.005821
   19hvv   18.601617  -7.475392    4471   18.606105   -7.47823 J-asg-c-o-ztfg-ztfr     1D3    F19        None   34.42847  0.051211  0.018127  0.017099  0.000131   18.601617  -7.475392  0.082877      0.0           0.0                 0.0  1.724       2.109             1.724  58668.216123  0.689132    1.313871  0.937447  0.031327  15.872784  15.335855  15.443522  0.047735  0.023052  0.024041   76.858862   66.696955  0.135768
   19hyj  353.752082  23.139272 1682143  353.752917  23.139167 J-asg-c-o-ztfg-ztfr     1D3    F19        None  37.367251  0.117732  0.057101  0.055919  0.000012  353.752082  23.139272  0.074221      0.0           0.0                 0.0  3.561       4.026              3.76   58663.35038  0.659608    3.724353  1.173849  0.063624  19.187225  18.655493  17.973698  0.101747   0.30752  0.047206  297.474812   56.354802  0.438668
   19hzd  229.309583 -25.197311 2816948  229.308454 -25.194839               J-c-o     1D3    F19        None  36.817423  0.052829  0.050522  0.051116   0.00009  229.309583 -25.197311  0.156776    0.865         0.775               0.862  0.603       0.701             0.606   58665.81627  0.546945    0.604486  1.098337  0.074925  18.254949  17.938057  17.987357  0.050227  0.029612  0.044173  230.932282   66.357713  0.095188
   19ibd   325.44253   7.202658 3948214  325.442708   7.202583     J-c-o-ztfg-ztfr      2D    F19        None  36.950886  0.059916   0.05846  0.057314  0.000169   325.44253   7.202658  0.050776      1.0         0.999                 1.0  0.406       0.435             0.406  58665.733854  0.397928    0.394995  1.095442  0.039242  18.429637  17.942535  17.919652  0.057451  0.029841  0.042548  245.571041   69.969376 -0.033361
   19iei  209.030021  37.564349 9005017   209.03192   37.56367     J-c-o-ztfg-ztfr     1D3    F19        None   37.08965  0.055825  0.061477   0.06212      <NA>  209.030021  37.564349  0.011212    0.972         0.501               0.972  0.575       0.978             0.575  58669.346223  0.448738    0.524342  1.002095  0.043001  18.693713  18.396533   18.19527  0.050474  0.038187   0.03218  261.776064   71.141104 -0.073392
   19igg  229.810838   7.866462   54682   229.81113    7.86548 J-asg-c-o-ztfg-ztfr     1D3    F19        None  36.679639   0.05852  0.047269   0.04782  0.000013  229.810838   7.866462  0.037645    0.569         0.513               0.568  0.949       0.978              0.95  58673.120143   0.38693    0.833049  1.058804  0.040587  18.175735  17.544171  17.509982  0.056169  0.043833  0.028843  216.734351   66.146421  0.107304
