# model=salt3-nir
# h=73.36495470247463
# N = 362
# RMS = 0.18677882126246526
# WRMS = 0.17409867848816993
# NMAD = 0.1524161935431913
# STD = 0.18671333350539407
# STD(logH0) = 0.03855644957162469
# rchisquare = 2.1435835381064208
# sigma_int = 0.12397
TNS_name          RA        Dec     PGC       galRA     galDec      bandpasses variant redlaw calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model            t0      e_t0        x0      e_x0        x1      e_x1         c       e_c        dist          h0  resid_DM
   19hoc  259.103958  36.114119 9005015   259.10399   36.11385      J-c-o-ztfr      2D    F19        None  35.793966  0.121868  0.036879   0.03677      <NA>  259.103958  36.114119  0.045939    0.809           0.0               0.809  0.768      11.413             0.768  58665.876722   0.21356  0.003696  0.000137  1.258242  0.246079  0.024941  0.032462   144.14286   76.475423 -0.150633
   19hqg  235.100708    41.7837 4473235   235.10174   41.78365 J-c-o-ztfg-ztfr      2D    F19        None  37.939223  0.116369  0.077615  0.077871  0.000002  235.100708    41.7837  0.026718      1.0         0.972                 1.0  0.423       0.659             0.423  58660.362251  0.335902  0.000694  0.000023  1.054948  0.351913 -0.076611  0.030107  387.119072   60.304628  0.300554
   19huh  348.613333     8.2633 3978094   348.61433    8.26147 J-c-o-ztfg-ztfr      2D    F19        None   36.23385  0.094643  0.040729  0.039492  0.000004  348.613333     8.2633  0.098782    0.978         0.321               0.978  0.651       1.079             0.651  58664.577632  0.157342  0.002811  0.000085 -0.439011  0.139246 -0.076679  0.024126  176.510277   67.075363  0.127413
   19hvj  231.278875  11.585211 3091171   231.27761   11.58613 J-c-o-ztfg-ztfr      2D    F19        None  37.607353  0.134684  0.085243  0.085751  0.000012  231.278875  11.585211  0.036372     0.87          0.63                0.87  0.779       0.922              0.78  58665.072788  0.337431  0.000692  0.000028  1.272049  0.445605  0.026884  0.031542   332.25429   77.373103  -0.25246
   19hvv   18.601617  -7.475392    4471   18.606105   -7.47823 J-c-o-ztfg-ztfr     1D3    F19        None  34.254172  0.085542  0.018127  0.017099  0.000131   18.601617  -7.475392  0.082877    0.999           0.0               0.999  0.403       6.491             0.403  58668.000497  0.183973  0.011003  0.000308 -0.572621  0.118384  0.061408  0.022238   70.930715    72.27126  0.002202
   19hyj  353.752082  23.139272 1682143  353.752917  23.139167 J-c-o-ztfg-ztfr      2D    F19        None  36.926504  0.107937  0.057101  0.055919  0.000012  353.752082  23.139272  0.074221      1.0         0.991                 1.0  0.432       0.589             0.432  58664.423818  0.231603  0.001065  0.000037 -0.174986  0.236828  0.036325  0.026534  242.829111   69.036756  0.038652
   19hzd  229.309583 -25.197311 2816948  229.308454 -25.194839           J-c-o      2D    F19        None  36.813899  0.207403  0.050522  0.051116   0.00009  229.309583 -25.197311  0.156776    0.997         0.996               0.997  0.344       0.359             0.344  58665.902017  0.458271  0.001112  0.000071  0.203696  0.983277  0.068694  0.043263  230.557796   66.465496  0.132396
   19ibd   325.44253   7.202658 3948214  325.442708   7.202583 J-c-o-ztfg-ztfr      2D    F19        None  36.959666  0.113684   0.05846  0.057314  0.000169   325.44253   7.202658  0.050776      1.0           1.0                 1.0  0.239       0.351             0.239   58666.36277   0.31939  0.001213   0.00004  0.544749  0.285767  0.012072  0.028842  246.566032   69.687022  0.016151
   19iei  209.030021  37.564349 9005017   209.03192   37.56367 J-c-o-ztfg-ztfr     1D3    F19        None  37.231497  0.108723  0.061477   0.06212      <NA>  209.030021  37.564349  0.011212    0.993         0.855               0.993  0.528       0.765             0.528  58670.121741  0.214335  0.001019  0.000032 -0.718864   0.27103 -0.056749  0.027279  279.446977   66.642475  0.109187
   19igg  229.810838   7.866462   54682   229.81113    7.86548 J-c-o-ztfg-ztfr     1D3    F19        None  36.610341  0.111439  0.047269   0.04782  0.000013  229.810838   7.866462  0.037645    0.837         0.121               0.837  0.811       1.229             0.812  58673.572296   0.16534  0.002053  0.000071 -0.048223  0.233884 -0.072851   0.02631  209.926952   68.291382  0.078738
   19iml  262.822333   36.45065   60431   262.82412   36.44289 J-c-o-ztfg-ztfr     1D3    F19        None  36.609232  0.111502  0.049448  0.049274  0.000037  262.822333   36.45065  0.034507      1.0         0.999                 1.0  0.325       0.516             0.325  58674.247728  0.165992  0.001395  0.000049 -2.261944  0.194783 -0.031161  0.027988  209.819734   70.403393  0.008768
   19jzt   13.634218  34.378285 9005018    13.63579    34.3773 J-c-o-ztfg-ztfr      2D    F19        None  37.893962   0.15428    0.0819  0.080903  0.000005   13.634218  34.378285   0.09487      1.0           1.0                 1.0  0.268       0.341             0.268  58671.263446  0.424982  0.000553  0.000027  0.448281  0.404432 -0.014747  0.037835  379.133627   63.972716  0.165068
   19kcv  216.435743  -3.233026 1074290  216.439012  -3.230861 J-c-o-ztfg-ztfr     1D3    F19        None  37.579901   0.15688  0.073014  0.073834   0.00029  216.435743  -3.233026  0.077764    0.979         0.717               0.979  0.565       0.847             0.566  58676.972336  0.307324  0.000754  0.000037  -0.01373  0.543505 -0.037692  0.033277  328.080398   67.467442  0.064318
   19kpv  356.773333 -34.709739 9005019   356.77379  -34.71067           J-c-o     1D3    F19        None  36.182862  0.175657    0.0425  0.041587  0.000297  356.773333 -34.709739  0.011489    0.916         0.253               0.915  0.617       1.181             0.618  58684.279144  0.216126   0.00285  0.000162  1.956594  0.328341   0.01922  0.044261  172.413941    72.31075 -0.038481
   19mrj   236.67979  28.197915 3853245   236.68349   28.19857 J-c-o-ztfg-ztfr     1D3    F19        None  37.301807  0.208545  0.076299   0.07662  0.000013   236.67979  28.197915  0.029399    0.974         0.957               0.974  0.528       0.571             0.529  58712.158048  0.487349  0.000538  0.000031  0.494992   0.65945  0.164463  0.051237  288.643241   79.579898 -0.299616
   19mrw  355.320083  25.550019   72115  355.317046  25.551244 J-c-o-ztfg-ztfr      2D    F19        None  35.477396  0.100917  0.031343   0.03018  0.000012  355.320083  25.550019  0.046398      1.0         0.807                 1.0  0.489       0.839             0.489  58714.561408  0.111776  0.002536  0.000083 -0.423681  0.125955  0.172089   0.02551  124.588865   72.620786 -0.029876
   19nft   32.151611    6.11221 9005020    32.15103     6.1126 J-c-o-ztfg-ztfr     1D3    F19        None  37.156869  0.146295  0.069246  0.068356      <NA>   32.151611    6.11221  0.045602    0.992          0.98               0.992  0.493       0.549             0.493  58720.493415  0.300991  0.000846  0.000038  0.467184  0.363356  0.064775   0.03912  270.006225   75.896813 -0.186165
   19njp   51.690667   1.183289 5093996    51.69102    1.18283 J-c-o-ztfg-ztfr      2D    F19        None  36.710235  0.106062  0.048514  0.047969  0.000003   51.690667   1.183289  0.112779      1.0           1.0                 1.0  0.272       0.363             0.272   58721.69251  0.200497  0.001658  0.000051  -0.40575  0.211703 -0.047624  0.026823  219.809802   65.423646  0.169384
   19nwf   61.270748  -6.604816 9005021    61.27072   -6.60439 J-c-o-ztfg-ztfr      2D    F19        None  37.277035  0.123939  0.064641   0.06431      <NA>   61.270748  -6.604816  0.084596    0.942          0.16               0.942  0.655       1.235             0.655  58723.397667  0.276282  0.001121  0.000042  0.726023  0.323525 -0.047855    0.0306  285.369194   67.560459  0.074019
   19obt     5.14422   5.755046 1288570     5.14546    5.75417 J-c-o-ztfg-ztfr     1D3    F19        None  36.834521  0.096787  0.056009  0.054827  0.000013     5.14422   5.755046  0.017433    0.832         0.062               0.832  0.804        1.33             0.804  58726.779789  0.202454  0.000895  0.000026 -0.045293  0.262359  0.121163  0.024949  232.757742   70.616977 -0.008753
   19oci    55.80375  40.165569 2161645    55.80438   40.16611 J-c-o-ztfg-ztfr      2D    F19        None  36.070114  0.097416   0.03855  0.038102     0.015    55.80375  40.165569  0.274908    0.182         0.001               0.182  1.161       1.691             1.161   58730.39192  0.171073  0.003159  0.000095  0.790241   0.16759 -0.022029   0.02466  163.690266   69.782647   0.04538
