# model=snpy_ebv_model2
# h=70.70068977377682
# N = 357
# RMS = 0.1648951123950165
# WRMS = 0.15175129721248223
# NMAD = 0.12568898587686875
# STD = 0.1648742524152819
# STD(logH0) = 0.032943281713634406
# rchisquare = 2.6649145015205455
# sigma_int = 0.12141
TNS_name          RA        Dec     PGC       galRA     galDec          bandpasses variant redlaw  calibration         DM      e_DM     z_hel     z_cmb       e_z          ra        dec     MWebv  fitprob  fitprob_data  fitprob_data_model  rchi2  rchi2_data  rchi2_data_model          Tmax    e_Tmax  rchisquare        st      e_st   EBVhost  e_EBVhost        dist         h0  resid_DM
   19fma  154.846875   44.40855   30167   154.85845  44.404629     J-c-o-ztfg-ztfr      0D    F19            6  35.236023  0.093188  0.023436  0.024188  0.000143  154.846875   44.40855  0.013541    0.678         0.281               0.678  0.843        1.15             0.844  58633.020806  0.367538    0.708712  0.624962  0.033288  0.155017   0.061742  111.481985  65.044302  0.142853
   19ftd  194.421398 -24.476643   44350   194.42496  -24.47964     J-c-o-ztfg-ztfr      2D    F19            6  36.748153   0.08633   0.04795  0.049012  0.000108  194.421398 -24.476643  0.123804    0.933         0.929               0.933  0.639       0.644             0.639  58634.830253  0.444213    0.673001  1.033737  0.042766 -0.009893   0.063152  223.681798  65.688519  0.081941
   19ftg  193.238046 -13.036813  943899    193.2375 -13.038611     J-c-o-ztfg-ztfr     1D3    F19            6  37.078571  0.086474  0.060595  0.061709      <NA>  193.238046 -13.036813  0.046904    0.996         0.995               0.996  0.517       0.529             0.517  58633.930552  0.403435    0.574621  0.904282  0.040081  0.099089   0.062267  260.443951  71.032471 -0.108049
   19gbh  268.065259  47.267797 2295250  268.064167  47.266667     J-c-o-ztfg-ztfr      2D    F19            6  37.668874   0.10501  0.095719  0.095462  0.000004  268.065259  47.267797  0.033038    0.984          0.98               0.984  0.657       0.668             0.657  58640.787623   0.47858    0.705719  1.294583  0.039914  0.226688   0.065061  341.802212  83.729328 -0.520835
   19gci   189.89819  45.377147 2263962  189.897754  45.377867 J-asg-c-o-ztfg-ztfr      2D    F19            6  36.776237  0.095088  0.046921  0.047615  0.000013   189.89819  45.377147  0.020682      0.0           0.0                 0.0  2.905       2.971             2.909  58643.562977      0.34    3.167605  0.886621  0.038542 -0.094222   0.068037  226.593511   62.99719  0.174261
   19gcj  163.775956  57.648935 2569372   163.77499   57.65051     J-c-o-ztfg-ztfr     1D3    F19            6  36.793615  0.097488  0.046162  0.046692  0.000007  163.775956  57.648935  0.005087      0.0           0.0                 0.0  2.619       2.996             2.658  58645.065826  0.408148    2.510941  0.737608  0.056535 -0.039028   0.067912  228.414132  61.283594  0.235287
   19ged  151.171708   40.04205 9005014  151.171703  40.042055 J-asg-c-o-ztfg-ztfr     1D3    F19            6  37.157067  0.134041   0.06339  0.064196      <NA>  151.171708   40.04205  0.010908      0.0           0.0                 0.0  3.364        3.54             3.497  58644.069185  0.578713    3.282962  0.932345  0.078696 -0.120864   0.084004  270.030832  71.270884 -0.119902
   19hoc  259.103958  36.114119 9005015   259.10399   36.11385      J-asg-c-o-ztfr      2D    F19            6  35.872571  0.082757  0.036879   0.03677      <NA>  259.103958  36.114119  0.045939    0.033           0.0               0.032  1.499       2.216             1.501  58665.925341  0.366879    1.162955  1.077458  0.033998 -0.014107   0.061472  149.456271  73.756599 -0.152353
   19hqg  235.100708    41.7837 4473235   235.10174   41.78365     J-c-o-ztfg-ztfr      2D    F19            6  37.917215  0.090005  0.077615  0.077871  0.000002  235.100708    41.7837  0.026718    0.988         0.985               0.988  0.581       0.595             0.581  58659.491703  0.490926    0.592843  1.231105  0.039529  0.019776   0.064217  383.215417  60.918926  0.198221
   19huh  348.613333     8.2633 3978094   348.61433    8.26147 J-asg-c-o-ztfg-ztfr     1D3    F19            6  36.222214  0.078554  0.040729  0.039492  0.000004  348.613333     8.2633  0.098782     0.01         0.005                0.01  1.465       1.515             1.465  58664.048507  0.422222    1.458417  0.965001  0.033841 -0.006414   0.061909  175.566955  67.435759  0.035452
